Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric,62.689,-39.497,-90,top
C2,10uF,C_1206_3216Metric,65.229,-39.497,-90,top
C3,100nF,C_0603_1608Metric,59.387,-36.449,0,top
C4,22uF,C_1206_3216Metric,59.993,-43.053,0,top
C5,22uF,C_1206_3216Metric,59.993,-45.466,0,top
D1,LED_Red_power,LED_0603_1608Metric,52.402,-35.56,180,top
D2,LED_Red_power,LED_0603_1608Metric,51.386,-48.26,180,top
L1,3.3uH,L_10.4x10.4_H4.8,68.248,-47.371,180,top
Q1,PMOS,SOIC-8_3.9x4.9mm_P1.27mm,53.545,-39.116,180,top
Q2,Q_Dual_PMOS_S1G1S2G2D2D2D1D1,SOP-8_3.9x4.9mm_P1.27mm,53.545,-44.704,0,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,44.704,-76.8725,-90,top
R2,20k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,43.942,-78.74,180,top
R3,10k,R_0402_1005Metric,55.069,-35.56,180,top
R4,56.2k,R_0402_1005Metric,58.371,-41.275,180,top
R5,10k,R_0402_1005Metric,60.403,-41.275,180,top
R6,6.8k,R_0402_1005Metric,54.053,-49.022,180,top
R7,6.8k,R_0402_1005Metric,54.053,-48.006,180,top
U1,ULN2003,SOIC-16_3.9x9.9mm_P1.27mm,116.84,-102.87,0,top
U2,ULN2003,SOIC-16_3.9x9.9mm_P1.27mm,118.11,-66.04,0,top
U3,TPS563200,SOT-23-6,59.387,-38.989,0,top
