Designator,Mid X,Mid Y,Layer,Rotation
D1,130.175,-132.08,top,0
D2,131.064,-122.428,top,0
D3,201.93,-113.03,top,270
D4,116.84,-113.03,top,270
D5,159.385,-113.03,top,270
D6,73.66,-113.03,top,270
F1,153.67,-139.7,top,270
F2,195.58,-139.7,top,270
F3,68.834,-139.192,top,0
F4,111.125,-139.7,top,270
R1,199.39,-113.03,top,90
R2,114.3,-113.03,top,90
R3,156.845,-113.03,top,90
R4,71.12,-113.03,top,90
R5,157.48,-116.84,top,90
R6,200.66,-116.84,top,90
R7,72.39,-116.84,top,90
R8,114.935,-116.84,top,90
J1,139.446,135.89,top,0
