Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,.1uF,C_0402_1005Metric,146,-68,270,top
C2,.1uF,C_0402_1005Metric,109.5,-75.25,180,top
D1,LED_Red,LED_0603_1608Metric,77.1,-76.49,0,top
D2,LED_Red,LED_0603_1608Metric,87.37,-76.5,180,top
D3,D_TVS,D_SOD-123,124.5,-56,270,top
D4,D_TVS,D_SOD-123,123.5,-61.5,90,top
D5,D_TVS,D_SOD-123,98.5,-61.5,90,top
D6,D_TVS,D_SOD-123,97.5,-56,270,top
D7,LED_Green,LED_0603_1608Metric,68,-138,270,top
D8,LED_Green,LED_0603_1608Metric,68,-123,270,top
D9,LED_Green,LED_0603_1608Metric,68,-108,270,top
D10,LED_Green,LED_0603_1608Metric,68,-92.7125,270,top
D11,D_TVS,D_SOD-123,56.5,-133,270,top
D12,D_TVS,D_SOD-123,56.5,-117.42,270,top
D13,D_TVS,D_SOD-123,56.5,-102.5,270,top
D14,D_TVS,D_SOD-123,56.5,-87.5,270,top
D15,LED_Green,LED_0603_1608Metric,93,-138,270,top
D16,LED_Green,LED_0603_1608Metric,93,-123,270,top
D17,LED_Green,LED_0603_1608Metric,93,-108,270,top
D18,LED_Green,LED_0603_1608Metric,93,-93,270,top
D19,D_TVS,D_SOD-123,81.5,-133,270,top
D20,D_TVS,D_SOD-123,81.5,-118,270,top
D21,D_TVS,D_SOD-123,81.5,-102.5,270,top
D22,D_TVS,D_SOD-123,81.5,-88,270,top
D23,LED_Green,LED_0603_1608Metric,118.5,-138,270,top
D24,LED_Green,LED_0603_1608Metric,118.5,-123,270,top
D25,LED_Green,LED_0603_1608Metric,118.5,-108,270,top
D26,LED_Green,LED_0603_1608Metric,118.5,-93,270,top
D27,D_TVS,D_SOD-123,107,-133,270,top
D28,D_TVS,D_SOD-123,107,-118,270,top
D29,D_TVS,D_SOD-123,107,-102.5,270,top
D30,D_TVS,D_SOD-123,107,-87.5,270,top
D31,LED_Green,LED_0603_1608Metric,142.5,-138,270,top
D32,LED_Green,LED_0603_1608Metric,142.5,-123,270,top
D33,LED_Green,LED_0603_1608Metric,142.5,-108,270,top
D34,LED_Green,LED_0603_1608Metric,142.5,-93,270,top
D35,D_TVS,D_SOD-123,131,-133,270,top
D36,D_TVS,D_SOD-123,131,-117.5,270,top
D37,D_TVS,D_SOD-123,131,-102.5,270,top
D38,D_TVS,D_SOD-123,131,-87.5,270,top
F1,8A,Fuse_2920_7451Metric,60,-69,180,top
F2,1A,Fuse_1206_3216Metric,59.5,-133,270,top
F3,1A,Fuse_1206_3216Metric,59.5,-117.5,270,top
F4,1A,Fuse_1206_3216Metric,59.5,-102.5,270,top
F5,1A,Fuse_1206_3216Metric,59.5,-87.5,270,top
F6,1A,Fuse_1206_3216Metric,84.5,-133,270,top
F7,1A,Fuse_1206_3216Metric,84.5,-118,270,top
F8,1A,Fuse_1206_3216Metric,84.5,-102.5,270,top
F9,1A,Fuse_1206_3216Metric,84.5,-88,270,top
F10,1A,Fuse_1206_3216Metric,110,-133,270,top
F11,1A,Fuse_1206_3216Metric,110,-118,270,top
F12,1A,Fuse_1206_3216Metric,110,-102.5,270,top
F13,1A,Fuse_1206_3216Metric,110,-87.5,270,top
F14,1A,Fuse_1206_3216Metric,134,-133,270,top
F15,1A,Fuse_1206_3216Metric,134,-117.5,270,top
F16,1A,Fuse_1206_3216Metric,134,-102.5,270,top
F17,1A,Fuse_1206_3216Metric,134,-87.5,270,top
Q1,AO3400A,SOT-23,63,-133,180,top
Q2,AO3400A,SOT-23,63,-117.42,180,top
Q3,AO3400A,SOT-23,63,-102.5,180,top
Q4,AO3400A,SOT-23,63,-87.5,180,top
Q5,AO3400A,SOT-23,88,-133,180,top
Q6,AO3400A,SOT-23,88,-118,180,top
Q7,AO3400A,SOT-23,88,-102.5,180,top
Q8,AO3400A,SOT-23,88,-88,180,top
Q9,AO3400A,SOT-23,113.5,-133,180,top
Q10,AO3400A,SOT-23,113.5,-118,180,top
Q11,AO3400A,SOT-23,113.5,-102.5,180,top
Q12,AO3400A,SOT-23,113.5,-87.5,180,top
Q13,AO3400A,SOT-23,137.5,-133,180,top
Q14,AO3400A,SOT-23,137.5,-117.5,180,top
Q15,AO3400A,SOT-23,137.5,-102.5,180,top
Q16,AO3400A,SOT-23,137.5,-87.5,180,top
R1,6.8k,R_0402_1005Metric,77,-78,180,top
R2,2k,R_0402_1005Metric,87.5,-78,0,top
R3,6.8k,R_0402_1005Metric,130,-59.75,90,top
R4,6.8k,R_0402_1005Metric,130,-57.25,90,top
R5,6.8k,R_0402_1005Metric,130,-54.75,90,top
R6,750,R_1206_3216Metric,121.5,-56,90,top
R7,750,R_1206_3216Metric,120.5,-61.5,270,top
R8,2k,R_0402_1005Metric,143.6,-78,180,top
R9,2k,R_0402_1005Metric,138.5,-78,0,top
R10,750,R_1206_3216Metric,95.75,-61.5,270,top
R11,750,R_1206_3216Metric,94.5,-56,90,top
R12,1M,R_0402_1005Metric,66.5,-131.5,180,top
R13,1M,R_0402_1005Metric,66.5,-116,180,top
R14,1M,R_0402_1005Metric,66.5,-101,180,top
R15,1M,R_0402_1005Metric,66.5,-86,180,top
R16,300,R_0402_1005Metric,66.5,-133,0,top
R17,300,R_0402_1005Metric,66.5,-117.5,0,top
R18,300,R_0402_1005Metric,66.5,-102.5,0,top
R19,300,R_0402_1005Metric,66.5,-87.5,0,top
R20,6.8k,R_0402_1005Metric,66.5,-134.5,0,top
R21,6.8k,R_0402_1005Metric,66.5,-119,0,top
R22,6.8k,R_0402_1005Metric,66.5,-104,0,top
R23,6.8k,R_0402_1005Metric,66.5,-89,0,top
R24,1M,R_0402_1005Metric,91.5,-131.5,180,top
R25,1M,R_0402_1005Metric,91.5,-116.5,180,top
R26,1M,R_0402_1005Metric,91.5,-101,180,top
R27,1M,R_0402_1005Metric,91.5,-86.5,180,top
R28,300,R_0402_1005Metric,91.5,-133,0,top
R29,300,R_0402_1005Metric,91.5,-118,0,top
R30,300,R_0402_1005Metric,91.5,-102.5,0,top
R31,300,R_0402_1005Metric,91.5,-88,0,top
R32,6.8k,R_0402_1005Metric,91.5,-134.5,0,top
R33,6.8k,R_0402_1005Metric,91.5,-119.5,0,top
R34,6.8k,R_0402_1005Metric,91.5,-104,0,top
R35,6.8k,R_0402_1005Metric,91.5,-89.5,0,top
R36,1M,R_0402_1005Metric,117,-131.5,180,top
R37,1M,R_0402_1005Metric,117,-116.5,180,top
R38,1M,R_0402_1005Metric,117,-101,180,top
R39,1M,R_0402_1005Metric,117,-86,180,top
R40,300,R_0402_1005Metric,117,-133,0,top
