Comment,Designator,Footprint,LCSC Part Number
0402 .1uF 10V Decoupling Capacitor,"C1, C2",402,C1525
Red led - power indicator,"D1, D2",603,C2286
TVS diode 12Vstandoff 13.3Vbreakdown,"D3-D6, D11-D14, D19-D22, D27-D30, D35-D38",SOD-123,C178259
Green led - state indicator,"D7-D10, D15-D18, D23-D26, D31-D34",603,C72043
PTC Fuse 16V 4A/8A,F1,2920,C135383
PTC Fuse 13.2V 500mA/1A,F2-F17,1206,C369159
RJ45 vertical jack,J1,Throughole,C386758
Male Vertical Quick Fit Terminal 6.35mm,J2-J19,Throughole,1287
N Trench MOSFET 30mR 30VDS 12VGS,Q1-Q16,SOT-23-3,C344010
0402 2k 1/16W resistor,"R2, R8, R9",402,C4109
0402 6.8k 1/16W resistor,"R1, R3-R5, R20-R23, R32-R35, R44-R47, R56-R59",402,C25917
1206 750 1/4W resistor,"R6, R7, R10, R11",1206,C17985
0402 1M 1/16W resistor,"R12-R15, R24-R27, R36-R39, R48-R51",402,C26083
0402 300 1/16W resistor,"R16-R19, R28-R31, R40-R43, R52-R55",402,C25102
3 pos SPST DIP switch 2.54mm,SW1,Throughole,C99420
2pos 45deg 18-22AWG terminal block P3.5mm,TB1,Throughole,C475154
Differential i2c Converter,U1,SOIC-8_3.9x4.9x1.27P,C32103
16ch i2c GPIO Expander,U2,SOIC-28_300MIL,C47023
